date,amount,category
2024/01/03 10:24:15,520,Groceries
2024/01/07 08:12:44,150,Transport
2024/01/15 19:48:03,980,Electronics
2024/01/28 13:05:22,220,Dining
2024/02/05 09:30:51,430,Rent
2024/02/11 18:10:09,85,Groceries
2024/02/19 15:42:33,60,Snacks
2024/03/03 11:15:19,255,Medical
2024/03/18 07:55:58,145,Transport
2024/03/25 20:40:01,600,Groceries
2024/04/04 14:03:27,210,Utilities
2024/04/22 16:45:36,140,Snacks
2024/05/01 10:00:15,700,Rent
2024/05/13 12:54:42,475,Groceries
2024/05/29 19:30:11,310,Dining
2024/06/08 09:21:52,260,Transport
2024/06/21 18:57:44,120,Snacks
2024/06/30 21:10:13,150,Entertainment
2024/07/07 17:25:40,510,Groceries
2024/07/19 08:50:59,210,Utilities
2024/08/04 07:44:05,130,Transport
2024/08/26 20:15:54,880,Electronics
2024/09/06 10:29:48,900,Rent
2024/09/14 19:44:21,345,Groceries
2024/09/25 15:05:07,90,Snacks
2024/10/03 09:18:54,240,Medical
2024/10/17 08:12:17,190,Transport
2024/10/29 20:40:46,160,Dining
2024/11/05 18:30:59,520,Groceries
2024/11/22 14:51:32,210,Utilities
2024/12/08 16:33:15,150,Snacks
2024/12/20 07:29:48,105,Transport
2025/01/04 09:44:33,540,Groceries
2025/01/15 18:55:11,985,Electronics
2025/01/28 20:14:06,260,Dining
2025/02/10 11:22:35,900,Rent
2025/02/19 08:15:54,180,Transport
2025/02/27 14:37:42,115,Snacks
2025/03/09 17:55:23,620,Groceries
2025/03/22 12:10:57,145,Transport
2025/04/02 09:28:44,210,Utilities
2025/04/26 19:40:32,345,Medical
2025/05/03 10:09:06,705,Rent
2025/05/19 13:22:15,320,Groceries
2025/06/01 18:15:09,155,Snacks
2025/06/18 08:33:40,245,Transport
2025/07/05 20:10:15,520,Groceries
2025/07/23 14:47:02,210,Utilities
2025/08/09 19:22:35,130,Entertainment
2025/08/27 17:55:59,890,Electronics
2025/09/07 11:00:30,950,Rent
2025/09/18 07:44:53,310,Groceries
2025/09/29 16:50:48,95,Snacks
2025/10/04 09:18:20,235,Medical
2025/10/21 18:02:37,190,Transport
2025/11/01 12:45:27,540,Groceries
2025/11/19 20:05:13,210,Dining
2025/12/08 14:10:55,160,Snacks
2025/12/22 08:12:40,110,Transport
